gene_id	lib_1	lib_2	lib_3	lib_4	lib_5
gene_103	0	0	0	0	0
gene_104	0	0	0	0	0
gene_105	0	0	0	0	0
gene_106	0	0	0	0	0
gene_107	0	0	0	0	0
gene_108	0	0	0	0	0
gene_109	0	0	0	0	0
gene_110	0	0	0	0	0
gene_111	0	0	0	0	0
gene_112	0	0	0	0	0
gene_113	0	0	0	0	0
gene_114	0	0	0	0	0
gene_115	0	0	0	0	0
gene_116	0	0	0	0	0
gene_117	0	0	0	0	0
gene_118	0	0	0	0	0
gene_119	0	0	0	0	0
gene_120	0	0	0	0	0
gene_121	0	0	0	0	0
gene_122	0	0	0	0	0
gene_123	0	0	0	0	0
gene_124	0	0	0	0	0
gene_125	0	0	0	0	0
gene_126	0	0	0	0	0
gene_127	0	0	0	0	0
gene_128	0	0	0	0	0
gene_129	0	0	0	0	0
gene_130	0	0	0	0	0
gene_131	0	0	0	0	0
gene_132	0	0	0	0	0
gene_133	0	0	0	0	0
gene_134	0	0	0	0	0
gene_135	0	0	0	0	0
gene_136	0	0	0	0	0
gene_137	0	0	0	0	0
gene_138	0	0	0	0	0
gene_139	0	0	0	0	0
gene_140	0	0	0	0	0
gene_141	0	0	0	0	0
gene_142	0	0	0	0	0
gene_143	0	0	0	0	0
gene_144	0	0	0	0	0
gene_145	0	0	0	0	0
gene_146	0	0	0	0	0
gene_147	0	0	0	0	0
gene_148	0	0	0	0	0
gene_149	0	0	0	0	0
gene_150	0	0	0	0	0
gene_151	0	0	0	0	0
gene_152	0	0	0	0	0
gene_153	0	0	0	0	0
gene_154	0	0	0	0	0
gene_155	0	0	0	0	0
gene_156	0	0	0	0	0
gene_157	0	0	0	0	0
gene_158	0	0	0	0	0
gene_159	0	0	0	0	0
gene_160	0	0	0	0	0
gene_161	0	0	0	0	0
gene_162	0	0	0	0	0
gene_163	0	0	0	0	0
gene_164	0	0	0	0	0
gene_165	0	0	0	0	0
gene_166	0	0	0	0	0
gene_167	0	0	0	0	0
gene_168	0	0	0	0	0
gene_169	0	0	0	0	0
gene_170	0	0	0	0	0
gene_171	0	0	0	0	0
gene_172	0	0	0	0	0
gene_173	0	0	0	0	0
gene_174	0	0	0	0	0
gene_175	0	0	0	0	0
gene_176	0	0	0	0	0
gene_177	0	0	0	0	0
gene_178	0	0	0	0	0
gene_179	0	0	0	0	0
gene_180	0	0	0	0	0
gene_181	0	0	0	0	0
gene_182	0	0	0	0	0
gene_183	0	0	0	0	0
gene_184	0	0	0	0	0
gene_185	0	0	0	0	0
gene_186	0	0	0	0	0
gene_187	0	0	0	0	0
gene_188	0	0	0	0	0
gene_189	0	0	0	0	0
gene_190	0	0	0	0	0
gene_191	0	0	0	0	0
gene_192	0	0	0	0	0
gene_193	0	0	0	0	0
gene_194	0	0	0	0	0
gene_195	0	0	0	0	0
gene_196	0	0	0	0	0
gene_197	0	0	0	0	0
gene_198	0	0	0	0	0
gene_199	0	0	0	0	0
gene_200	0	0	0	0	0
gene_201	0	0	0	0	0
gene_202	0	0	0	0	0
gene_203	0	0	0	0	0
gene_204	0	0	0	0	0
gene_205	0	0	0	0	0
gene_206	0	0	0	0	0
gene_207	0	0	0	0	0
gene_208	0	0	0	0	0
gene_209	0	0	0	0	0
gene_210	0	0	0	0	0
gene_211	0	0	0	0	0
gene_212	0	0	0	0	0
gene_213	0	0	0	0	0
gene_214	0	0	0	0	0
gene_215	0	0	0	0	0
gene_216	0	0	0	0	0
gene_217	0	0	0	0	0
gene_218	0	0	0	0	0
gene_219	0	0	0	0	0
gene_220	0	0	0	0	0
gene_221	0	0	0	0	0
gene_222	0	0	0	0	0
gene_223	0	0	0	0	0
gene_224	0	0	0	0	0
gene_225	0	0	0	0	0
gene_226	0	0	0	0	0
gene_227	0	0	0	0	0
gene_228	0	0	0	0	0
gene_229	0	0	0	0	0
gene_230	0	0	0	0	0
gene_231	0	0	0	0	0
gene_232	0	0	0	0	0
gene_233	0	0	0	0	0
gene_234	0	0	0	0	0
gene_235	0	0	0	0	0
gene_236	0	0	0	0	0
gene_237	0	0	0	0	0
gene_238	0	0	0	0	0
gene_239	0	0	0	0	0
gene_240	0	0	0	0	0
gene_241	0	0	0	0	0
gene_242	0	0	0	0	0
gene_243	0	1.93837362291666	0	0	0
gene_244	0	0	0	0	0
gene_245	0	0	0	0	0
gene_246	2.81736161738972	0	0	0	0
gene_247	0	0	0	0	0
gene_248	0.0326880153125604	0.0192215135712909	0.174407469555913	0.0954775121938472	0.0673802712066824
gene_249	0	0	0	0	0
gene_250	0	0	0	0	1.2677069014368
gene_251	0	0	0	0	0
gene_252	0	0	0	0	0
gene_253	1.90098021719316	4.48728555596437	4.65013391567481	3.72126792166185	3.82140067348644
gene_254	0	0	0	0	0
gene_255	0	0	0	0	1.0923932081265
gene_256	0	0	0	0	1.15972870939639
gene_257	0	0	0	0	0
gene_258	0	0	1.05262449568834	0	0
gene_259	0	0	0	0	0
gene_260	0	0	0	0	0
gene_261	0	0	0	0	0
gene_262	0	0	0	0	0
gene_263	0	0	0	0	0
gene_264	0	0	0	0	0
gene_265	0	0	0	0	0
gene_266	0	0	0	0	0
gene_267	1.57416801619175	2.51178835809859	1.32295517568096	1.80353048993705	1.75106857841839
gene_268	0	0	0	0	0
gene_269	0	0	0	0	0
gene_270	0	0	0	0	0
gene_271	0	0	1.79935465066188	0	0
gene_272	0	0	0	0	0
gene_273	0	0	10.4426404555634	0	2.41149368879152
gene_274	0	0	0	0	0
gene_275	0	0	0	0	0
gene_276	0	0	0	0	0
gene_277	0	0	0	0	0
gene_278	0	0	0	0	0
gene_279	0	0	0	2.51266746854534	1.60937779043481
gene_280	0	0	0	0	0
gene_281	0	0	0	0	0
gene_282	0	0	0	1.14656881709318	0
gene_283	0	0	0	0	0
gene_284	0	0	1.01014820042796	0	1.17039317720788
gene_285	0	0	0	0	0
gene_286	0	0	0	0	0
gene_287	0	0	0	0	0
gene_288	0.0128876242719507	0.182153626004381	0.0293011016521106	0.0201148849645566	0.0934882476140693
gene_289	0	0	0	0	0
gene_290	1.35677795575318	2.98622181662183	1.54338409237479	1.11452587750724	1.00037356174548
gene_291	0	0	1.171103884104	0	0
gene_292	0	0	0	0	0
gene_293	1.33214774731813	0	2.94744008517217	0	0
gene_294	1.02309103460814	3.55402632252561	2.4828993056838	1.63839252435433	5.49920324031596
gene_295	3.40728722752069	0	0	12.1771719218905	0
gene_296	0	0	0	0	0
gene_297	0	0	0	0	1.60052759023694
gene_298	0	0	2.31633565585671	0	2.06933598395421
gene_299	0	0	0	0	0
gene_300	0	0	0	0	0
gene_301	0	0	0	0	0
gene_302	0	49.6217269831141	3.10261119510923	0	95.7833251525003
gene_303	0	0	0	0	0
gene_304	0	0	0	0	0
gene_305	0	0	0	0	0
gene_306	0	0	0	0	0
gene_307	0	0	0	0	0
gene_308	0	0	0	0	0
gene_309	0	0	0	0	0
gene_310	1.21506094103333	0	0	0	0
gene_311	0	0	0	0	0
gene_312	0	0	0	0	0
gene_313	0	0	0	0	0
gene_314	1.16623687154649	0	6.68668526484591	1.10010733270834	2.73627523407258
gene_315	0	0	0	0	1.52807675352056
gene_316	0	0	0	0	0
gene_317	0	0	0	0	0
gene_318	0	0	0	0	0
gene_319	3.18758489793788	0	0	0	0
gene_320	0	0	0	0	0
gene_321	0	0	0	0	0
gene_322	0	0	0	0	0
gene_323	0	0	0	2.13960930627755	2.00044689163729
gene_324	0	0	0	0	0
gene_325	0	0	0	0	0
gene_326	1.78172585165209	1.7364789949233	1.61863963824232	2.10114262713087	0
gene_327	0	0	0	0	0
gene_328	0	0	0	0	0
gene_329	0.042426778302483	0.613752792595314	0.229102540823183	0.155516417966225	0.665978601607693
gene_330	3.17008717152811	2.50472562477531	5.48052440971977	3.37147757699797	3.49063502841899
gene_331	0	0	0	0	0
gene_332	0.310173381150357	0.219668857079384	0.347934355626962	0.256292966661404	0.354899535124707
gene_333	4.80753050536398	0	2.65127094942513	2.3615395115715	1.51993106533015
gene_334	0	0	0	0	0
gene_335	0	0	0	0	0
gene_336	0	0	0	0	0
gene_337	0	0	0	0	0
gene_338	0	0	0	0	0
gene_339	3.00792024063163	3.42454024860641	1.36390393160991	0	0
gene_340	0	0	0	0	0
gene_341	0	0	0	0	0
gene_342	0	0	0	0	0
gene_343	0	0	0	0	0
gene_344	0	0	0	0	0
gene_345	1.41783582901099	0	0	0	0
gene_346	0	0	0	0	0
gene_347	0	0	0	0	0
gene_348	0	0	0	0	0
gene_349	0	0	0	0	0
gene_350	0	0	0	0	0
gene_351	0	0	1.07843279774473	0	1.8682706488589
gene_352	0	0	0	0	0
gene_353	0	0	0	0	0
gene_354	4.43251987423697	3.64939286712877	2.63744036551369	2.4904134928101	4.469388317439
gene_355	0	0	1.38100936003744	0	0
gene_356	0	0	0	0	0
gene_357	0	0	0	0	0
gene_358	0	0	0	0	0
gene_359	0	0	0	0	0
gene_360	0	0	0	0	0
gene_361	0	0	0	0	0
gene_362	0	0	0	0	0
gene_363	0	0	0	0	0
gene_364	0	0	0	0	0
gene_365	0	0	0	0	0
gene_366	0	0	0	0	0
gene_367	0	0	0	0	0
gene_368	0	0	0	0	0
gene_369	0	0	0	0	0
gene_370	0	0	0	0	0
gene_371	2.38374227879485	0	1.36670505188323	3.29836810166435	4.02244019737815
gene_372	0	0	0	0	0
gene_373	1.48187659322332	1.33166355430842	1.61406372859823	0	1.58025566112938
gene_374	1.45877691654575	2.47167844620175	2.65523796461399	1.11561153109666	2.83471664223844
gene_375	0	0	0	0	0
gene_376	0	0	0	0	0
gene_377	0	0	0	0	0
gene_378	0	0	0	0	0
gene_379	0	0	0	0	0
gene_380	2.21194246819551	0	0	0	0
gene_381	0	0	0	0	0
gene_382	0	0	0	0	0
gene_383	0	0	0	0	0
gene_384	0.0976543618871014	0.00830711830714109	0	0.0195557981632408	0.0114456414308149
gene_385	0	0	0	0	0
gene_386	0	0	0	10.40634357482	0
gene_387	0	0	0	0	0
gene_388	0	0	0	0	0
gene_389	0	0	0	0	0
gene_390	0	0	0	0	0
gene_391	0	0	0	0	0
gene_392	0	0	0	0	0
gene_393	0	0	0	1.77408094139388	0
gene_394	0	0	1.72905004550658	0	3.2428919323484
gene_395	0	0	0	0	0
gene_396	0	0	0	0	0
gene_397	0	0	1.36146679099134	0	0
gene_398	0	0	0	0	0
gene_399	0	0	0	0	0
gene_400	0	0	0	0	0
gene_401	0	0	0	0	0
gene_402	0	0	0	0	0
gene_403	0	0	0	0	0
gene_404	0	0	0	0	0
gene_405	1.42641041320533	1.80586133463515	0	2.09379522688033	0
gene_406	0	0	0	0	0
gene_407	0	1.1638591915275	1.05938319783207	1.49941007759182	1.44089531196251
gene_408	0.0514090541473243	0.0213938509584724	0.0699608660659936	0.0506762510560192	0.115887759701598
gene_409	0	1.21611240787713	1.97431629827562	1.94489972638259	1.6055319582148
gene_410	0	0	0	0	0
gene_411	0	3.31900103786271	0	0	0
gene_412	0	0	0	0	0
gene_413	0	0	0	0	0
gene_414	0	0	0	4.46366585097154	0
gene_415	0	0	0	0	0
gene_416	0	0	0	0	0
gene_417	0.139703457754289	0.0757535082822374	0.102715626219146	0.0354689494947736	0.033881266547069
gene_418	0	0	0	0	0
gene_419	0	0	0	0	0
gene_420	0	0	0	0	0
gene_421	1.22490198811309	0	0	0	0
gene_422	0	0	0	0	0
gene_423	0	0	0	0	0
gene_424	0	0	0	0	0
gene_425	0	0	0	0	0
gene_426	0	0	0	0	0
gene_427	0	0	0	0	0
gene_428	0	0	0	0	0
gene_429	0	0	0	0	0
gene_430	0	0	0	0	0
gene_431	0	0	0	0	0
gene_432	0	0	0	0	0
gene_433	0	0	0	0	0
gene_434	0	0	3.04135985779119	0	0
gene_435	0	0	0	0	0
gene_436	0	0	0	0	0
gene_437	0	0	0	0	0
gene_438	0	0	0	0	0
gene_439	0	0	0	0	0
gene_440	0	0	0	0	0
gene_441	0	1.05585023119754	3.54709302081774	0	0
gene_442	0	0	0	0	0
gene_443	0	0	0	0	0
gene_444	2.87447320094635	1.9941677797354	1.20759769391765	2.90919121547924	2.65791085923287
gene_445	0	0	0	0	0
gene_446	0	0	0	0	0
gene_447	0	0	0	0	0
gene_448	0	0	5.89837213546354	0	0
gene_449	0	0	0	0	0
gene_450	0	0	0	0	0
gene_451	0	0	0	0	0
gene_452	0	3.04560723904755	2.96538476925316	0	0
gene_453	0	0	0	0	0
gene_454	0	0	0	0	0
gene_455	0	0	0	0	0
gene_456	0	0	0	1.06741793318337	0
gene_457	0	0	1.01792211504741	0	2.83637929763146
gene_458	1.65495326107507	2.53199511746362	0	1.27892674868284	1.24189565262463
gene_459	0	0	0	0	0
gene_460	2.77692810712388	0	0	2.04671629781445	0
gene_461	1.50777231910982	0	0	0	0
gene_462	0	0	8.0416804977579	0	0
gene_463	0	0	0	0	0
gene_464	0	0	0	0	0
gene_465	0	0	0	0	0
gene_466	0	0	0	0	0
gene_467	0	0	0	0	0
gene_468	1.67335095227942	0	0	0	14.9434450835361
gene_469	0	0	0	0	0
gene_470	0	0	0	0	0
gene_471	0	1.6033835647715	0	0	0
gene_472	0	0	0	0	0
gene_473	0	0	0	0	0
gene_474	0	2.23586147183436	0	0	0
gene_475	0	0	0	0	0
gene_476	0	0	1.91334448519226	0	2.78411975310942
gene_477	0	0	0	0	0
gene_478	0	0	1.9591043037277	0	0
gene_479	0	0	0	0	0
gene_480	1.18710305722323	0	0	0	0
gene_481	0	0	0	0	0
gene_482	0	0	0	0	0
gene_483	0	0	0	0	0
gene_484	0	0	0	0	0
gene_485	0	0	0	0	0
gene_486	0	0	0	0	0
gene_487	0	0	0	0	0
gene_488	0	0	0	0	0
gene_489	0.286326521025557	3.20163201621451	0.112908040783978	1.93412221127218	0.391527596823757
gene_490	0	0	0	0	0
gene_491	1.16123919010459	1.57596604158584	1.55717225279377	0	0
gene_492	0	0	0	1.1834032671381	0
gene_493	0.0103143680184656	0.0639337809215984	0.0546697997306202	0.373219582772537	0.107911183366364
gene_494	0	0	0	0	0
gene_495	0	0	1.10860211701309	0	0
gene_496	1.10620326948857	0	0	0	0
gene_497	0	0	0	0	1.13826663668781
gene_498	0	0	0	0	0
gene_499	0	0	0	0	0
gene_500	1.80509270959718	1.39417006317612	0	0	0
gene_501	0	0	0	0	0
gene_502	0	0	0	0	0
gene_503	0	0	0	0	0
gene_504	0	0	0	0	0
gene_505	0	0	0	0	0
gene_506	0	0	0	0	0
gene_507	0	0	0	0	0
gene_508	1.75586162099818	0	0	2.21438442254532	0
gene_509	1.14879345976579	0	1.55642110947742	0	0
gene_510	0	0	0	0	0
gene_511	0	0	0	0	0
gene_512	0	0	0	0	0
gene_513	1.88816884903779	0	2.42443276941705	0	0
gene_514	5.241973920107	0	2.86212201245254	0	0
gene_515	0	0	0	0	0
gene_516	0	0	0	0	0
gene_517	0	0	0	0	0
gene_518	0	0	0	0	0
gene_519	0	1.25114076928002	0	0	0
gene_520	0	0	0	0	0
gene_521	0	1.65714908163955	0	0	1.03987287347632
gene_522	1.04412032389751	0	0	0	0
gene_523	0	0	0	0	0
gene_524	0	0	0	0	0
gene_525	0	0	0	0	0
gene_526	0	0	0	0	0
gene_527	0	0	0	0	0
gene_528	0	0	0	0	0
gene_529	1.38156741563162	0	0	1.21751001670504	1.58185082582389
gene_530	0	0	0	0	0
gene_531	0	0	0	0	0
gene_532	0	0	0	0	0
gene_533	1.34577347146516	0	0	0	0
gene_534	1.64782105451055	0	1.60904098689571	2.75226114721719	0
gene_535	0	0	0	0	0
gene_536	0	0	0	0	0
gene_537	0	0	0.00767955112558471	0	0.00952811211076218
gene_538	3.56653181776697	0	1.14365683730519	2.97597746931035	11.2204486527476
gene_539	0	0	0	0	0
gene_540	0	0	0	0	0
gene_541	0	0	0	0	0
gene_542	0	0	0	0	0
gene_543	0	0	0	0	0
gene_544	1.75286841874137	3.6484490329258	0	5.62769024504969	1.43538330683421
gene_545	3.18105002582527	0.36981613096028	0.214929257597704	0.331855904918309	2.17265319838935
gene_546	0	0	0	0	0
gene_547	0	0	0	0	1.03767494340055
gene_548	1.07127633080829	1.29320371324774	1.04537189549606	0	0
gene_549	0	0	0	0	0
gene_550	1.62384459938895	0	2.98188111341147	1.49063255400181	1.76190101680063
gene_551	6.75703743529681	0	2.06007835484076	7.24434822051632	6.48346495442964
gene_552	0	0	0	0	0
gene_553	2.52167959965343	1.90271556267108	2.2258003311489	3.99922948908356	1.51391542971695
gene_554	0	0	0	0	0
gene_555	0	0	0.022918998959721	0	0
gene_556	0	0	0	0	0
gene_557	0	0	0	0	0
gene_558	0.111191445450868	0.0247421730538331	0.170994725625238	0.202078283729524	0.0280418335330356
gene_559	0	0	0	0	0
gene_560	0	0	0	1.67684522707076	0
gene_561	0	0	0	0	0
gene_562	0	0	0	0	0
gene_563	0	0	0	0	0
gene_564	0	0	0	0	0
gene_565	0	1.7656785851668	0	0	0
gene_566	0	0	0	0	0
gene_567	0	0	0	0	1.15522840072614
gene_568	0.307191748517336	0.0939688992493237	0.0720159296867174	0.0672029916582873	0.15922265401718
gene_569	0	0	0	0	0
gene_570	0	0	0	0	0
gene_571	1.09011302378719	0	0	0	0
gene_572	1.31949670833733	0	1.25150482031552	1.1177544912351	2.3285913749687
gene_573	0	0	0	0	0
gene_574	0	0	0	0	0
gene_575	0	0	0	0	0
gene_576	0	0	0	0	1.37980346100073
gene_577	0	0	0	0	0
gene_578	0	0	0	0	2.10204219367289
gene_579	2.21506896344374	1.88192717174762	2.17664916770322	1.62516830118946	0
gene_580	0	0	0	0	0
gene_581	0	0	2.66317578977649	0	0
gene_582	1.65218888057689	0	2.6867208566152	1.0355746496208	0
gene_583	0	0	0	0	0
gene_584	0	0	0	0	0
gene_585	0	0	0	0	0
gene_586	0	0	0	0	0
gene_587	3.05129936835	1.46349104197199	5.40708588462713	0	0
gene_588	0	1.36896827901453	0	0	0
gene_589	0	0	0	0	0
gene_590	0	0	0	0	0
gene_591	0	0	0	0	0
gene_592	0	0	0	0	0
gene_593	0	0	0	0	0
gene_594	0	0	0	0	0
gene_595	0	0	0	0	0
gene_596	1.1915531152915	0	0	0	0
gene_597	0	0	0	0	0
gene_598	0	2.1524685767408	1.35507835349297	0	0
gene_599	0	1.34199934399379	1.64313114487289	3.2039514472479	0
gene_600	0	0	0	0	0
gene_601	0	0	0	0	0
gene_602	0	0	0	0	0
gene_603	1.12009221101299	0	0	0	0
gene_604	0	0	0	0	0
gene_605	0	0	0	0	0
gene_606	0.69862324592942	0.336395239549762	0.223480951983542	0.0676312071496089	0.00918511115997323
gene_607	1.02942207062024	3.32072308728276	0	1.04103777657659	0
gene_608	0	0	0	0	0
gene_609	0	0	0	0	0
gene_610	1.10013071342804	0	1.42808645442803	0	0
gene_611	0	0	0	0	0
gene_612	0	0	0	0	0
gene_613	0	0	0	0	0
gene_614	0	0	0	0	0
gene_615	1.58881070856122	1.08738910870135	0	0	0
gene_616	0	0	0	0	0
gene_617	0	0	0	0	0
gene_618	5.9829058224066	8.96312224122959	13.8505490683611	6.24064570294692	8.10383850870911
gene_619	0	0	0	0	0
gene_620	0	0	0	0	0
gene_621	0	0	0	0	0
gene_622	1.2698152159612	2.48955675808154	0	2.18670533815213	0
gene_623	0	0	0	0	0
gene_624	1.85922932882715	1.80188363394038	0	1.46414493895397	1.53755254756705
gene_625	0	0	0	1.54323451966222	0
gene_626	0	0	0	0	0
gene_627	0	0	0	0	0
gene_628	0	0	0	0	0
gene_629	0	0	0	0	0
gene_630	0	2.43954804211274	0	0	2.04402530075236
gene_631	0	2.76616191880325	1.10501717041118	0	0
gene_632	0	0	2.16493898703669	0	1.38682364017295
gene_633	0.683000471398042	0.138191807516033	0.162400864786479	0.291997487933446	0.135418203884824
gene_634	0	0	0	0	0
gene_635	0	0	0	0	0
gene_636	0	0	0	0	0
gene_637	0	0	0	0	0
gene_638	0	0	0	0	1.28216804879019
gene_639	0	0	0	0	0
gene_640	0	0	0	0	0
gene_641	0	1.30240327757528	0	0	0
gene_642	0	0	0	0	0
gene_643	0	0	0	0	0
gene_644	6.17769673289363	0	0	0	0
gene_645	0	0	0	0	0
gene_646	0	0	0	0	0
gene_647	0	0	0	0	0
gene_648	0	0	0	0	0
gene_649	0	0	0	0	0
gene_650	0	0	0	0	0
gene_651	0	0	0	0	0
gene_652	0	0	0	0	0
gene_653	0.201646402209619	0.44777631524821	0.111777614426834	0.0602513760119942	0.203099924564197
gene_654	0	0	0	0	0
gene_655	0	0	0	0	0
gene_656	1.09748334641135	0	0	2.13827880568107	0
gene_657	0	0	0	0	0
gene_658	0	0	0	0	0
gene_659	0	0	0	0	0
gene_660	0	0	1.09934022868074	0	0
gene_661	0	0	0	0	0
gene_662	0	0	0	0	0
gene_663	0	0	0	0	0
gene_664	0	0	0	0	0
gene_665	0	0	0	0	0
gene_666	0	0	0	0	0
gene_667	0	0	0	0	0
gene_668	0	0	1.22374830562647	0	0
gene_669	0	0	0	0	0
gene_670	0	0	1.51242149791055	0	0
gene_671	0	0	0	0	0
gene_672	0	0	0	0	0
gene_673	0	0	0	0	0
gene_674	0	0	0	0	0
gene_675	0	0	0	0	0
gene_676	2.03379785647431	1.84770849816098	2.84696048330314	4.13785338625478	3.05632921186856
gene_677	0	0	0	0	0
gene_678	0	0	0	0	1.94641707442312
gene_679	0	0	0	0	0
gene_680	0	0	0	0	0
gene_681	0	0	0	0	0
gene_682	0	0	0	0	0
gene_683	0.188455464485523	0.783042183674317	0.843924818362408	0.291627627537237	0.132727354489044
gene_684	0	0	0	0	0
gene_685	0	0	0	0	0
gene_686	0	0	0	0	0
gene_687	0	0	0	0	0
gene_688	0	0	0	0	0
gene_689	0	0	0	0	0
gene_690	0	0	0	0	0
gene_691	0	0	0	0	0
gene_692	0	0	0	0	0
gene_693	0	0	0	0	0
gene_694	0	0	0	0	0
gene_695	0	0	0	0	0
gene_696	0	0	0	0	0
gene_697	0	0	0	0	0
gene_698	1.24122137012924	0	0	0	0
gene_699	2.93490156042843	2.96238620718213	5.82778128428469	2.87615717822492	1.27700093044389
gene_700	0	1.13758672560294	0	0	1.14418658684039
gene_701	0	0	0	0	0
gene_702	1.2395440698969	0	0	0	0
gene_703	0	0	0	0	0
gene_704	0	4.28802683735567	0	1.41848221951227	0
gene_705	0	0	0	0	0
gene_706	0	0	0	1.78092885065163	0
gene_707	0	0	0	0	0
gene_708	0	0	0	0	0
gene_709	0	0	0	0	0
gene_710	0	0	0	0	0
gene_711	2.28876531490299	2.0113256941665	0	1.48631788152129	1.64869827295106
gene_712	0	0	0	0	0
gene_713	0	0	0	0	0
gene_714	0	0	0	0	0
gene_715	0	0	0	0	0
gene_716	0	0	0	0	0
gene_717	0	0	0	0	0
gene_718	0	2.09629453240996	0	0	0
gene_719	0	0	0	0	0
gene_720	0	0	0	0	0
gene_721	0	0	0	0	0
gene_722	3.05221957587805	0	0	1.59415371717138	0
gene_723	0	0	0	0	0
gene_724	0	0	0	0	0
gene_725	0	0	0	0	0
gene_726	3.18129749510291	4.29322808772468	5.13906349622312	3.48508980043825	5.10084616627409
gene_727	0	0	0	0	0
gene_728	0	0	0	0	0
gene_729	0	0	0	0	0
gene_730	0	0	0	0	0
gene_731	1.78319975500475	1.55602689637113	1.69021098043896	1.70895382478994	1.25287065064365
gene_732	0	0	0	0	0
gene_733	0	0	0	0	0
gene_734	0	0	0	0	0
gene_735	0	0	0	0	0
gene_736	0	0	0	0	0
gene_737	0	0	0	0	0
gene_738	0	9.45552073884866	0	4.05756592409621	3.10799743037033
gene_739	0	0	0	0	0
gene_740	0	0	0	0	0
gene_741	2.95910445933385	1.89094754337486	2.08947359395819	1.25321724533895	1.03270864189436
gene_742	0	0	0	0	0
gene_743	0	0	0	0	0
gene_744	0	2.33150990667484	1.08325597103414	0	2.82064647303698
gene_745	0	1.25210503806815	0	0	0
gene_746	0	0	0	0	0
gene_747	0	0	0	0	0
gene_748	0	0	0	0	0
gene_749	3.1390128446717	3.66919031400428	5.48126321714463	1.24714034454647	4.1204681501851
gene_750	0	1.53508537648596	0	0	2.13836377396984
gene_751	0	0	0	0	0
gene_752	0	0	0	0	0
gene_753	0	0	0	0	0
gene_754	0	0	0	0	0
gene_755	0	4.36531955753885	3.5543218311654	3.14724641015808	2.0010022745897
gene_756	0	0	0	0	0
gene_757	0	0	0	0	0
gene_758	0.0449020805239348	0.150839779835406	0.0411786246354431	0.313386539549569	0.0607125742643468
gene_759	0	0	0	0	0
gene_760	0	0	0	0	0
gene_761	0	0	0	0	0
gene_762	1.0379498987733	2.27286115049013	0	4.46663614593038	0
gene_763	0	0	0	0	0
gene_764	0	0	0	1.18375361584157	0
