gene	Yg	sigma_g
gene_2057	-3.27275529008712	0.641507717426926
gene_2072	-3.03918242231656	1.82243293943923
gene_2088	0.945158794612055	0.0578364676222384
gene_2135	-3.67040567939074	0.875494119201451
gene_2161	-1.41514762109302	0.655437857854317
gene_2208	-1.40602093224366	1.68282391554655
gene_2235	-3.86967187434405	1.35382368385399
gene_2259	1.07859920919263	0.296768115328307
gene_2314	-0.537049599773827	0.217102696139571
gene_2315	-0.432328276054164	0.175187714818098
gene_2354	-4.88204915781915	12.2687988817406
gene_2444	1.78411056101337	0.415065070455655
gene_2475	1.76417677121022	0.0987009663466293
gene_2518	1.38993835689051	0.173458220145868
gene_2540	1.43745103592554	0.0491115472697764
gene_2574	2.45023190566619	0.0620897801338532
gene_2625	2.36109330918668	0.0557580132132457
gene_2692	1.08623499084137	0.134368618982374
gene_2745	2.77988162611555	0.0777925474764127
gene_2753	1.09000068437435	0.150663352662116
gene_2798	3.35851559926601	0.0456471084807636
gene_2815	2.82652900002077	0.098356946959188
gene_2867	2.19488064990289	0.284908162547791
gene_2897	1.5328952989053	0.49120588353776
gene_2902	2.08095499650211	0.103037286273475
gene_3006	2.35154020174649	0.113482106486141
gene_3018	1.2505662435486	0.984427270820688
gene_3104	1.2622291644604	0.572820011963255
gene_3125	1.2176722589371	0.151689648703235
gene_3169	1.63340460754163	0.232486363740057
gene_3202	3.71312575272899	0.0356804123991923
gene_3224	3.27712446189705	0.163772809012937
gene_3282	2.0547128151691	0.13730753208034
gene_3414	-0.722357360024949	0.137927510485105
gene_3429	0.629122344163152	0.1424011319184
gene_3471	0.595383081854451	0.18644719855017
gene_3561	0.346681942332325	0.907384950906047
gene_3626	2.34008784069772	0.417929127383685
gene_3714	1.77557469333051	0.0977102289568089
gene_3725	1.55504416635874	0.139202837716539
gene_3793	1.92647091090347	0.200319498133166
gene_3809	1.39468232521349	0.129113508462822
gene_3831	1.69852376118605	0.558751999702988
gene_3890	3.41032459667964	0.0420720797772316
gene_3906	2.44813096850533	0.458888470811579
gene_3978	-0.0436480344117918	0.104612466970826
gene_4016	3.09208520376946	0.340900161538087
gene_4093	4.160311998399	0.0166069215618617
gene_4159	1.41547574264531	0.396291200757114
gene_4165	3.94211867436105	0.00809081707251317
gene_4181	2.28307958271239	0.183771834802342
gene_4198	1.40662046711211	0.542604357720672
gene_4256	0.585924397760647	0.299641810793803
gene_4269	2.87264990694328	0.054726365484602
gene_4332	2.14424009833384	0.143774095794614
gene_4447	0.830951769898447	0.570548892237746
gene_4455	0.637603238628314	0.212792792822464
gene_4549	1.57684245138995	0.604542826953441
gene_4568	0.897615550452618	0.355522216745637
gene_4655	-0.00706497133384998	0.539125447333643
gene_4830	2.11536696379648	0.133878239441882
gene_4855	4.41265682729586	0.0204337265291355
gene_4887	1.1136872847523	0.0622698663177649
gene_4900	2.2374826582449	0.0948679424422465
gene_4947	1.9968120561402	0.346460827920371
gene_5024	3.54555213957115	0.0300320886274226
gene_5088	0.798738030655099	0.155993547979508
gene_5089	1.16577392545758	0.175817578600249
gene_5093	4.36960942688326	0.0420778953201313
gene_5105	0.541604711278522	0.391783010850836
gene_5124	2.29809074569409	0.307077532231202
gene_5125	1.96999166184979	0.0717398913528087
gene_5138	2.88945653716497	0.032760263268072
gene_5147	3.33382761676988	0.0955466212161957
gene_5191	1.77356279838303	0.0439932797222443
gene_5212	1.13057920865	0.0740267230111339
gene_5230	2.59244993708351	0.195821216633655
gene_5289	2.57804200446568	0.0844253157277832
gene_5298	1.6180547493971	0.2170434037644
gene_5312	1.36448267545622	0.135452712498067
gene_5335	-0.586396555519213	0.410742450809793
gene_5360	0.597144480473504	0.645593873248877
gene_5398	1.27452653113287	0.0870828908060782
gene_5420	2.31563188012282	0.0590999372343231
gene_5485	4.50600079415149	0.0292567744708922
gene_5505	3.7031100703489	0.0407018573754238
gene_5542	1.79450298156993	0.225955424399074
gene_5601	0.805400450454884	0.804854403633692
gene_5606	0.712988736777207	0.258182738334467
gene_5612	2.9941776119183	0.281768542081959
gene_5642	-0.153059888251619	1.3991682330652
gene_5708	1.95318770372757	0.312034632250593
gene_5712	2.14102469377107	0.0741094129146033
gene_5734	4.30957779197049	0.0631876659787803
gene_5776	1.31283626708963	0.112950618514233
gene_5792	2.52884817774589	0.0987865430858265
gene_5826	-0.0263044563859274	0.446630974183033
gene_5828	1.17889853320158	0.136668868533553
gene_5835	2.17767544941499	0.0733952938926317
gene_5913	0.511410015516054	0.229208699289602
gene_5972	0.749661611474364	0.584690285834854
gene_5997	1.03477541913803	0.242761773210525
gene_6008	1.9710836290774	0.116807912118687
gene_6129	4.06257122207965	0.0876732103950424
gene_6193	4.32023647253722	0.0496084836184702
gene_6261	2.79736634691018	0.192606397731213
gene_6276	2.39158957672104	0.0606578007783901
gene_6327	2.77102738669638	0.13234164494462
gene_6363	2.0938285263849	0.28803934808125
gene_6437	1.91913752040114	0.164391339687191
gene_6462	2.75549021342222	0.059380118336699
gene_6478	2.01538803491708	0.132462750391805
gene_6516	2.1783279082557	0.0858140169178467
gene_6616	2.07824675081028	0.149905562670161
gene_6663	0.144051931556663	0.20456398032587
gene_6709	3.49816236338266	0.0878562007048578
gene_6778	4.17812307115465	0.0104213986259244
gene_6827	4.43681299597882	0.0236726739421629
gene_6899	3.26027581456881	0.0336524800059533
gene_6901	2.584227068475	0.117651730912809
gene_6903	2.72061140573303	0.0349905957332091
gene_6938	2.02421131056727	0.110892173770028
gene_6940	0.290030589154144	0.111401711690066
gene_6951	3.16714300274421	0.192135469046514
gene_6963	4.76384655836937	0.0588881606077932
gene_7010	2.16162948096718	0.0770576393054023
gene_7073	1.24145218838661	0.368400145375478
gene_7109	0.788664123467796	0.314460854478009
gene_7152	0.851170465677586	0.164613220727785
gene_7198	1.64680643199852	0.245324660013177
gene_7211	3.34984367506473	0.212430354945402
gene_7286	2.2276019292258	0.325763842393325
gene_7308	3.26108625264	0.0809434457884754
gene_7359	2.98638837643393	0.181465234057294
gene_7382	3.51043788909749	0.0598800305345324
gene_7394	1.41766229510721	0.204849965376975
gene_7438	2.41260293940157	0.141219624953233
gene_7483	0.970275247641127	0.188666074733618
gene_7608	3.30492439902072	0.0822598508236784
gene_7693	0.398997833979184	0.142843522140213
gene_7736	4.85903159274383	0.0140537512161584
gene_7760	7.07729723602884	0.010244115992842
gene_7786	6.78574888647798	0.00444664350612372
gene_7975	6.21810306904274	0.0104742489045732
