gene_id	gene_length
ENSG00000076344	1752
ENSG00000142279	3743.667
ENSG00000170632	1961.364
ENSG00000186577	1038.625
ENSG00000008710	2031.225
ENSG00000197943	1039.938
ENSG00000082556	2459.25
ENSG00000154222	2098.833
ENSG00000213341	2384.75
ENSG00000184156	5055.75
ENSG00000047315	1835.5
ENSG00000171824	1377.333
ENSG00000186281	2401.909
ENSG00000051341	3395.667
ENSG00000126785	1562.75
ENSG00000143217	1779.333
ENSG00000106714	2082.769
ENSG00000115159	1623.385
ENSG00000162636	5164
ENSG00000044115	907.8864
ENSG00000258729	1677
ENSG00000130700	2588
ENSG00000088766	1296.143
ENSG00000249581	820
ENSG00000100196	1205
ENSG00000143921	2652
ENSG00000114480	1448.333
ENSG00000110987	3227
ENSG00000143457	1355.5
ENSG00000130270	2992.889
ENSG00000132612	1404.5
ENSG00000185269	1268.75
ENSG00000163481	995.5
ENSG00000132185	1667.467
ENSG00000214226	1226.4
ENSG00000170214	1736
ENSG00000145868	1365
ENSG00000070669	1311.412
ENSG00000125633	1927.778
ENSG00000198899	680
ENSG00000182359	1746.857
ENSG00000178585	1379.2
ENSG00000162931	1335.125
ENSG00000184730	3470.667
ENSG00000164483	1260.4
ENSG00000187550	1062.5
ENSG00000077312	757.7273
ENSG00000145022	1013.5
ENSG00000196169	1953.833
ENSG00000257207	2005.5
ENSG00000179841	4542.5
ENSG00000132275	2267
ENSG00000204160	1685
ENSG00000115310	2295.75
ENSG00000261857	463.1429
ENSG00000170876	2115
ENSG00000119669	4146
ENSG00000214188	780.6667
ENSG00000186063	1839.429
ENSG00000171840	793.4
ENSG00000180376	1579.083
ENSG00000010319	2111
ENSG00000241484	1225.786
ENSG00000074356	2162.714
ENSG00000145861	2411
ENSG00000007384	1249.417
ENSG00000242515	2231.5
ENSG00000102595	1394.273
ENSG00000101336	1923.222
ENSG00000144026	2974.25
ENSG00000129559	837.125
ENSG00000186051	629
ENSG00000175518	2312
ENSG00000137501	2118.7
ENSG00000256683	846.6667
ENSG00000259119	1849
ENSG00000006715	1133.5
ENSG00000041353	2178.5
ENSG00000143799	1152
ENSG00000137699	1038.238
ENSG00000081985	2349
ENSG00000137842	891.2
ENSG00000148229	1784
ENSG00000115484	1513
ENSG00000188811	2791.6
ENSG00000175066	1528.462
ENSG00000129152	1798
ENSG00000110719	1048.562
ENSG00000185264	891.25
ENSG00000176219	1173
ENSG00000197213	1198.5
ENSG00000143545	1196.5
ENSG00000092470	2128
ENSG00000100814	1036.688
ENSG00000119688	1104.793
ENSG00000155622	613
ENSG00000149328	2595.5
ENSG00000204291	1974.75
ENSG00000163823	2729
ENSG00000175718	3468
ENSG00000188279	269
ENSG00000170989	1390.333
ENSG00000154710	2317.125
ENSG00000132470	2764.714
ENSG00000108381	1912
ENSG00000161955	1193.25
ENSG00000182118	1349
ENSG00000162739	2054
ENSG00000139168	855.6
ENSG00000065054	1087.889
ENSG00000164733	1095
ENSG00000212864	1096.5
ENSG00000198939	1628.5
ENSG00000124164	3375.333
ENSG00000136834	1015
ENSG00000169951	2216.333
ENSG00000187003	1432
ENSG00000198887	2494.667
ENSG00000222005	1145
ENSG00000164600	2129
ENSG00000124406	2765.7
ENSG00000166974	1933.077
ENSG00000165959	2352.556
ENSG00000140650	1088
ENSG00000184787	1252.583
ENSG00000130856	3343.125
ENSG00000167104	1500.5
ENSG00000132475	1059.538
ENSG00000162704	1904.2
ENSG00000180694	1907.714
ENSG00000173302	1266
ENSG00000175305	1307.75
ENSG00000096006	1492.5
ENSG00000115474	1279
ENSG00000173826	2939.333
ENSG00000171396	1073
ENSG00000204764	1905.318
ENSG00000134588	2778.25
ENSG00000136982	1503
ENSG00000107566	2724.333
ENSG00000145919	895.5714
ENSG00000184792	1794.5
ENSG00000203804	489
ENSG00000167994	1154.5
ENSG00000151746	2342.222
ENSG00000104320	1800.1
ENSG00000064042	3127.864
ENSG00000065613	5340.333
ENSG00000163125	4178.6
ENSG00000147138	1257
ENSG00000198113	4146
ENSG00000146426	2558.435
ENSG00000128683	1343.375
ENSG00000258417	1992.667
ENSG00000116030	866.4
ENSG00000128573	2902.684
ENSG00000187187	1316.444
ENSG00000141084	2061.455
ENSG00000143199	3643
ENSG00000178665	1686.2
ENSG00000106278	1944.889
ENSG00000168646	1578.286
ENSG00000141371	500
ENSG00000014914	1999.917
ENSG00000197756	1115.5
ENSG00000144045	1384.5
ENSG00000185527	800
ENSG00000197406	2101
ENSG00000104442	1169
ENSG00000113391	1339.889
ENSG00000101680	3914.25
ENSG00000204913	889
ENSG00000146223	1603.909
ENSG00000073754	1341.5
ENSG00000076321	1380.833
ENSG00000066135	1449.2
ENSG00000128713	1597
ENSG00000152078	2187
ENSG00000151718	3725.545
ENSG00000170175	1440
ENSG00000233538	565
ENSG00000163331	560.3333
ENSG00000214106	1687
ENSG00000108771	1240.125
ENSG00000204188	954
ENSG00000186153	1091.25
ENSG00000139908	979.2857
ENSG00000069849	1018
ENSG00000110841	2001.412
ENSG00000141569	1098.333
ENSG00000135476	3148.556
ENSG00000198380	4606.25
ENSG00000011143	1246.667
ENSG00000152904	1533.778
ENSG00000115762	1884.333
ENSG00000164035	1103.9
ENSG00000249709	957
ENSG00000196600	2164.4
ENSG00000122966	2469.833
ENSG00000244165	1246.5
ENSG00000129595	1287.7
ENSG00000173890	883.6
ENSG00000151876	1078.857
ENSG00000168918	1746.211
ENSG00000125355	2318.833
ENSG00000112319	2523.214
ENSG00000176716	977.5
ENSG00000188986	2685
ENSG00000197181	3312.25
ENSG00000136098	1729.182
ENSG00000134897	1772.429
ENSG00000180305	704
ENSG00000251139	614
ENSG00000240403	1703
ENSG00000235863	1241.5
ENSG00000040933	3482.545
ENSG00000152763	1560.692
ENSG00000116957	1391
ENSG00000132703	924
ENSG00000131381	1649.1
ENSG00000153237	1711.556
ENSG00000148426	1439.25
ENSG00000121851	1079.5
ENSG00000137054	1955.333
ENSG00000115944	1179.5
ENSG00000166664	1299.286
ENSG00000132026	974
ENSG00000155886	6450
ENSG00000179002	2536
ENSG00000138802	4285.667
ENSG00000115266	4750.875
ENSG00000164896	1437.353
ENSG00000158022	1561.5
ENSG00000004864	1288.333
ENSG00000176402	1114
ENSG00000181396	1361.583
ENSG00000151846	3089
ENSG00000139613	1970.067
ENSG00000206075	1008
ENSG00000100425	2826.9
ENSG00000047188	2818.286
ENSG00000092421	1842.312
ENSG00000198797	2136.667
ENSG00000113580	2418.647
ENSG00000187266	1710.875
ENSG00000169122	1016.286
ENSG00000104853	1220.25
ENSG00000111652	1108.19
ENSG00000158864	1015.688
ENSG00000168268	1119.062
ENSG00000166710	798.8333
ENSG00000051825	1602.962
ENSG00000078142	1914.706
ENSG00000144031	1254.286
ENSG00000183783	1522.5
ENSG00000146826	1515.8
ENSG00000048740	4190.929
ENSG00000229615	44.5
ENSG00000137857	2223.833
ENSG00000164066	2874.667
ENSG00000186297	1164.636
ENSG00000011566	1425.5
ENSG00000014216	1125.25
ENSG00000063761	1523.875
ENSG00000093134	1181.938
ENSG00000226174	1534.5
ENSG00000139874	4292
ENSG00000152049	2383.333
ENSG00000156113	3289.391
ENSG00000236624	1411.625
ENSG00000080493	4782.333
ENSG00000079689	1065.5
ENSG00000154188	2017.625
ENSG00000231925	1687.778
ENSG00000230178	994
ENSG00000131378	1052.833
ENSG00000119714	2062
ENSG00000133740	1654.889
ENSG00000196453	3227
ENSG00000092096	1772.778
ENSG00000188511	1640.714
ENSG00000131187	1198.167
ENSG00000136100	1200.333
ENSG00000165655	2852
ENSG00000163104	2996.75
ENSG00000048392	1080.1
ENSG00000070601	3190.4
ENSG00000121716	1720.933
ENSG00000167970	534
ENSG00000125875	3869.25
ENSG00000148795	1440.333
ENSG00000107165	1197.125
ENSG00000101439	1263
ENSG00000116525	1542.75
ENSG00000163521	1227.769
ENSG00000135090	1406.789
ENSG00000198049	2235
ENSG00000178796	616.1667
ENSG00000183146	874
ENSG00000168828	1086
ENSG00000091831	2944.231
ENSG00000186310	2595.5
ENSG00000116151	1328.545
ENSG00000181781	1145.667
ENSG00000164932	896.75
ENSG00000183795	917.6667
ENSG00000177186	1005
ENSG00000075945	2259.143
ENSG00000158352	5176.2
ENSG00000203722	1025.333
ENSG00000197079	1716.5
ENSG00000138434	3060.375
ENSG00000162191	963.8235
ENSG00000102900	988.9048
ENSG00000124356	1645.636
ENSG00000050438	2108.722
ENSG00000206531	1401.5
ENSG00000172995	1330.514
ENSG00000255748	526
ENSG00000198597	2503.2
ENSG00000213934	805
ENSG00000150753	1262.071
ENSG00000179195	1662.214
ENSG00000172531	992.5455
ENSG00000071054	2746.444
ENSG00000166321	1558
ENSG00000124588	891.2222
ENSG00000165891	2408
ENSG00000188316	1620.25
ENSG00000076258	968.6
ENSG00000242247	1217.429
ENSG00000255103	6003
ENSG00000006128	865.8
ENSG00000151952	5534
ENSG00000172288	2269
ENSG00000137880	641.6667
ENSG00000112312	827.3333
ENSG00000121653	2235
ENSG00000103855	1275.263
ENSG00000157350	2083.5
ENSG00000176986	2500.667
ENSG00000197329	1396.25
ENSG00000144824	3313.6
ENSG00000155629	2000.333
ENSG00000126107	1585.571
ENSG00000197312	2647.667
ENSG00000172575	1861.308
ENSG00000059915	1575.625
ENSG00000198498	915.8889
ENSG00000086288	1018
ENSG00000228856	1592
ENSG00000106665	2045.444
ENSG00000168746	554
ENSG00000198075	1549.333
ENSG00000083099	1561.6
ENSG00000185559	912.8
ENSG00000204947	1210
ENSG00000114854	588.6667
ENSG00000185792	3212
ENSG00000180611	3366
ENSG00000129472	1031
ENSG00000172732	1171.824
ENSG00000091140	1304.071
ENSG00000227151	1844
ENSG00000140675	1110.444
ENSG00000084110	1631.545
ENSG00000135845	1172.5
ENSG00000125319	1928
ENSG00000076555	2754.875
ENSG00000123472	1578.714
ENSG00000244694	3042
ENSG00000161526	1103.154
ENSG00000165209	1873.9
ENSG00000173699	693.2222
ENSG00000187531	1115.571
ENSG00000096088	844.75
ENSG00000127743	596
ENSG00000132872	1238.75
ENSG00000204612	1298
ENSG00000101255	1411
ENSG00000116120	2634
ENSG00000168772	2448.5
ENSG00000130734	1033.846
ENSG00000171735	1560.765
ENSG00000197168	1811
ENSG00000071242	1953.5
ENSG00000103546	2167.5
ENSG00000078618	1750.714
ENSG00000172292	7022
ENSG00000179817	1443
ENSG00000105376	1538.4
ENSG00000138115	1703.636
ENSG00000170289	1865
ENSG00000145040	1479
ENSG00000122584	1350
ENSG00000183960	2958.75
ENSG00000107262	1273.5
ENSG00000125531	1126
ENSG00000105205	631
ENSG00000015676	1580.909
ENSG00000089060	1591.688
ENSG00000214415	1151
ENSG00000112996	1822
ENSG00000155085	2143.308
ENSG00000215529	775
ENSG00000261210	665
ENSG00000164296	2362
ENSG00000125746	1110.29
ENSG00000154342	2145.5
ENSG00000156860	1972.727
ENSG00000148136	956
ENSG00000196611	1960
ENSG00000137124	3064
ENSG00000198715	851.3333
ENSG00000005471	2249.909
ENSG00000109466	1953.3
ENSG00000152219	1664.25
ENSG00000185272	1249.333
ENSG00000088782	512
ENSG00000180011	3030
ENSG00000154451	2617
ENSG00000164438	1490
ENSG00000163882	846.0714
ENSG00000081026	3690.167
ENSG00000143315	4321
ENSG00000176797	516
ENSG00000163497	1209
ENSG00000224361	582
ENSG00000129353	1443.2
ENSG00000167077	1350.778
ENSG00000104823	599.4118
ENSG00000135776	1775.667
ENSG00000198860	1101.857
ENSG00000101883	766
ENSG00000125744	1164.143
ENSG00000165810	1435.091
ENSG00000165792	948.2
ENSG00000187546	994
ENSG00000196917	2996.667
ENSG00000076356	2802.333
ENSG00000117154	1323.5
ENSG00000117519	1158.125
ENSG00000162482	1703
ENSG00000139697	7961.5
ENSG00000204120	1573.787
ENSG00000140511	1636.2
ENSG00000204311	1015
ENSG00000178057	977.8333
ENSG00000115524	1303.75
ENSG00000160888	2101.667
ENSG00000180901	1366.444
ENSG00000143333	2422
ENSG00000115129	1025.286
ENSG00000255940	2027
ENSG00000249242	1556.5
ENSG00000007541	1373.875
ENSG00000184857	1002
ENSG00000010610	1033.417
ENSG00000138207	1059.333
ENSG00000072401	1625
ENSG00000151881	1651.714
ENSG00000161807	967.5
ENSG00000205356	1449.737
ENSG00000167992	1661.429
ENSG00000205089	1070.333
ENSG00000136522	1049.667
ENSG00000108523	937.375
ENSG00000129317	2080.75
ENSG00000110148	1245.833
ENSG00000105679	923
ENSG00000150527	2201.357
ENSG00000122696	1553.75
ENSG00000177576	940
ENSG00000105298	2039.9
ENSG00000132383	1596.571
ENSG00000129003	5729
ENSG00000153779	915.5
ENSG00000002586	777.4444
ENSG00000197822	1976.286
ENSG00000248713	10084
ENSG00000118271	883
ENSG00000186844	624
ENSG00000165219	3426.75
ENSG00000091844	4700
ENSG00000166896	717
ENSG00000214248	4738
ENSG00000153064	2288
ENSG00000139546	1092.9
ENSG00000119866	2197.583
ENSG00000220008	2184
ENSG00000078328	1630.95
ENSG00000189252	588
ENSG00000170482	1024.571
ENSG00000111845	1790
ENSG00000186446	1170.75
ENSG00000139572	1767.5
ENSG00000007944	2224.5
ENSG00000101464	1136
ENSG00000164972	606.1429
ENSG00000077092	1698.111
ENSG00000198657	982
ENSG00000171067	813.7778
ENSG00000205277	5890.333
ENSG00000182255	2356.5
ENSG00000242441	918.1429
ENSG00000132744	1109
ENSG00000196578	929
ENSG00000135951	1422.143
ENSG00000178828	1248
ENSG00000214819	1046
ENSG00000066455	1777.75
ENSG00000228278	865
ENSG00000197530	1993.086
ENSG00000171055	1469.286
ENSG00000198563	1315.72
ENSG00000242180	1065
ENSG00000163221	513
ENSG00000182583	870
ENSG00000118217	4126.5
ENSG00000184056	1561
ENSG00000138757	1100.947
ENSG00000226180	2609
ENSG00000142867	2816
ENSG00000187288	902
ENSG00000149633	2778
ENSG00000011304	1339.45
ENSG00000147679	956
ENSG00000154975	1971.2
ENSG00000156471	1956.571
ENSG00000162458	1198.688
ENSG00000205318	969
ENSG00000196098	965
ENSG00000135698	633
ENSG00000182545	943
ENSG00000198650	1813.75
ENSG00000102054	1330.083
ENSG00000112096	2018.5
ENSG00000173113	732.3333
ENSG00000134121	1773.867
ENSG00000121542	1063
ENSG00000171291	1665.2
ENSG00000164898	564.4
ENSG00000141642	1198
ENSG00000214575	1839.889
ENSG00000173262	1366.15
ENSG00000197496	2428.5
ENSG00000006282	1350.692
ENSG00000171116	1961
ENSG00000135318	1860.6
ENSG00000188051	1282.5
ENSG00000146070	1628
ENSG00000181036	1160
ENSG00000147140	1366.667
ENSG00000172724	524.3333
ENSG00000151239	1471.167
ENSG00000174407	914.6667
ENSG00000163736	712
ENSG00000161243	1146.429
ENSG00000138050	1288.364
ENSG00000147475	1840.182
ENSG00000179057	2587.8
ENSG00000080819	1156
ENSG00000135114	1437.333
ENSG00000182318	4626
ENSG00000204531	1383.714
ENSG00000087087	1119.722
ENSG00000164619	1501.875
ENSG00000147488	1533.167
ENSG00000185716	1433
ENSG00000187601	1460
ENSG00000185100	1239.25
ENSG00000254999	1041
ENSG00000086548	1630.5
ENSG00000135763	3121.5
ENSG00000182272	1107.8
ENSG00000099999	992.8333
ENSG00000162399	3468
ENSG00000167131	1259
ENSG00000161395	1446.3
ENSG00000085563	1454.6
ENSG00000161091	1154
ENSG00000112029	2282
ENSG00000105467	685.5
ENSG00000108518	998.3333
ENSG00000222040	3277
ENSG00000196123	1626.385
ENSG00000215187	820.4
ENSG00000184481	1401.25
ENSG00000213619	707.4615
ENSG00000165935	858.6667
ENSG00000172967	1686
ENSG00000163467	572.125
ENSG00000158220	2534
ENSG00000179097	3073
ENSG00000100836	1188.75
ENSG00000205846	1676
ENSG00000126756	649.6
ENSG00000135454	1604.375
ENSG00000134453	1234.083
ENSG00000136274	2549
ENSG00000004455	917.6923
ENSG00000173947	1951.75
ENSG00000213420	1300
ENSG00000125462	1070.962
ENSG00000138964	1706.333
ENSG00000105136	1612.353
ENSG00000167632	3359.125
ENSG00000151466	1880.6
ENSG00000129480	1643
ENSG00000188993	3323
ENSG00000160883	1136.5
ENSG00000164076	1605.188
ENSG00000170209	1519
ENSG00000168079	2291.6
ENSG00000185950	6997
ENSG00000170091	1032.556
ENSG00000129071	1278.7
ENSG00000206549	2115
ENSG00000213214	2072.5
ENSG00000164329	1292.059
ENSG00000156983	2800.556
ENSG00000047578	1716.667
ENSG00000214046	1042.75
ENSG00000108669	1823.706
ENSG00000119912	2229.375
ENSG00000172053	961.5385
ENSG00000243708	2028.571
ENSG00000163132	1222
ENSG00000228083	777
ENSG00000214978	538
ENSG00000108759	1743
ENSG00000070371	3009.75
ENSG00000107014	930.3333
ENSG00000167393	1459.7
ENSG00000181562	925
ENSG00000006047	1569.857
ENSG00000038945	1137.333
ENSG00000158079	3584.667
ENSG00000168813	4646.2
ENSG00000177239	1985.625
ENSG00000184012	1346.545
ENSG00000053372	1096
ENSG00000077063	1716.75
ENSG00000183813	3093
ENSG00000134443	650
ENSG00000108691	822.3333
ENSG00000107147	3945.917
ENSG00000170619	1209.5
ENSG00000145990	4429.2
ENSG00000151632	1225.818
ENSG00000121057	1511.389
ENSG00000131368	1377
ENSG00000126259	2037.8
ENSG00000013573	1661.594
ENSG00000158578	1151.25
ENSG00000155890	2534
ENSG00000165194	6904
ENSG00000120963	941.4667
ENSG00000124226	2434
ENSG00000159527	1166
ENSG00000259224	1193
ENSG00000182400	2006.429
ENSG00000182162	2300.5
ENSG00000256316	465
ENSG00000175928	1659.667
ENSG00000184677	5979.25
ENSG00000139197	1260.35
ENSG00000183814	2567.833
ENSG00000005238	2698.5
ENSG00000234965	484
ENSG00000204954	932.8182
ENSG00000134107	1741.333
ENSG00000136824	3633.667
ENSG00000100122	1096
ENSG00000164603	1921.333
ENSG00000157600	2955.875
ENSG00000160746	1124.235
ENSG00000229665	1844
ENSG00000175544	853.4286
ENSG00000171791	2669.8
ENSG00000121101	3442.333
ENSG00000170540	945.25
ENSG00000121691	993.6
ENSG00000184983	934.3333
ENSG00000146918	2492.786
ENSG00000196526	3716.25
ENSG00000130522	1183.5
ENSG00000169851	2853.833
ENSG00000111605	1845.571
ENSG00000205740	1873
ENSG00000037280	2379.727
ENSG00000177688	682
ENSG00000173918	1671.833
ENSG00000185304	4914.75
ENSG00000179361	1739.6
ENSG00000044524	3799.667
ENSG00000066279	6896
ENSG00000197142	2099.8
ENSG00000197965	1514.364
ENSG00000062725	2258.167
ENSG00000239306	943.5556
ENSG00000137142	1088
ENSG00000125815	756
ENSG00000117697	1250.429
ENSG00000072163	1918.667
ENSG00000138286	1830.875
ENSG00000163064	1451
ENSG00000189221	1962
ENSG00000143702	1813.88
ENSG00000106560	768.6667
ENSG00000129988	1946
ENSG00000160785	2487
ENSG00000172215	2046.5
ENSG00000198728	1395.75
ENSG00000214113	1719.333
ENSG00000185897	1487.5
ENSG00000196236	2196.875
ENSG00000164535	1561.083
ENSG00000115616	2124
ENSG00000160209	2055.944
ENSG00000205670	1116.143
ENSG00000197591	1055
ENSG00000142405	3408.444
ENSG00000173153	1351.143
ENSG00000185686	1468
ENSG00000215029	1455.667
ENSG00000254318	482
ENSG00000104723	1209.462
ENSG00000168958	1134.407
ENSG00000167779	909.75
ENSG00000111667	1602.714
ENSG00000177697	895.5238
ENSG00000176692	1682
ENSG00000163362	1444.714
ENSG00000137656	1637.333
ENSG00000123500	1953
ENSG00000125482	1810
ENSG00000105339	2116.682
ENSG00000150526	1327.75
ENSG00000106617	1314.647
ENSG00000104848	4370
ENSG00000204978	944
ENSG00000253313	1050.5
ENSG00000144227	1050
ENSG00000204681	1990.7
ENSG00000175274	1288.857
ENSG00000169991	2568.333
ENSG00000006634	1581.625
ENSG00000118017	1768
ENSG00000198478	4645
ENSG00000155304	1964.333
ENSG00000221983	794.0714
ENSG00000130475	1232.158
ENSG00000179454	1736.571
ENSG00000116981	1101
ENSG00000109390	756.3333
ENSG00000180016	1306
ENSG00000143450	1135.429
ENSG00000123454	1758.5
ENSG00000145536	2754.75
ENSG00000109063	2353.333
ENSG00000165023	4383
ENSG00000145349	2980.444
ENSG00000130962	2481.111
ENSG00000137573	1641.5
ENSG00000130054	4010
ENSG00000165071	933.7273
ENSG00000185567	10429
ENSG00000087253	1781
ENSG00000123091	1541.333
ENSG00000196873	1625.333
ENSG00000175325	1461
ENSG00000091527	1315.889
ENSG00000160961	2121.091
ENSG00000141655	3202.75
ENSG00000010626	977.9286
ENSG00000120256	1581
ENSG00000181617	561
ENSG00000150760	1807.8
ENSG00000234545	1125.364
ENSG00000198805	1197.75
ENSG00000167377	2500.333
ENSG00000108055	2426.5
ENSG00000101444	1502.333
ENSG00000179564	1490
ENSG00000174343	1117.667
ENSG00000111671	1000.8
ENSG00000185038	1150.143
ENSG00000141295	1131.923
ENSG00000242362	1285
ENSG00000163380	2844.667
ENSG00000234068	435
ENSG00000174792	822.75
ENSG00000157764	2971
ENSG00000093072	1881.556
ENSG00000115641	1628.385
ENSG00000005955	1791.889
ENSG00000056097	2054.857
ENSG00000106853	1109.6
ENSG00000063244	1129.375
ENSG00000198843	1274
ENSG00000132376	1051
ENSG00000113273	1941.833
ENSG00000147168	991.6667
ENSG00000186231	1962.667
ENSG00000100012	1864.778
ENSG00000197172	1171
ENSG00000111276	1143
ENSG00000100604	1140.333
ENSG00000235750	2534.6
ENSG00000105383	1685.286
ENSG00000091513	1175.4
ENSG00000092067	1552
ENSG00000182793	826
ENSG00000204501	1859
ENSG00000171819	1418.5
ENSG00000106688	1637.333
ENSG00000183850	1206.667
ENSG00000253309	1333.5
ENSG00000109220	718.75
ENSG00000117174	4428
ENSG00000147588	2432.5
ENSG00000170264	2606
ENSG00000165102	1936.583
ENSG00000166133	1713.5
ENSG00000227706	1603
ENSG00000093009	1064.083
ENSG00000230567	1136.444
ENSG00000147234	4955.333
ENSG00000166741	823.875
ENSG00000186792	1183.333
ENSG00000141279	1278.385
ENSG00000101365	962.0909
ENSG00000167695	1364.429
ENSG00000125207	1058.5
ENSG00000134245	4529.75
ENSG00000187959	954.5
ENSG00000136205	2754.5
ENSG00000134256	1985.75
ENSG00000186980	207
ENSG00000205129	705.6667
ENSG00000143190	4063.722
ENSG00000145604	1440.125
ENSG00000197557	5974
ENSG00000182902	1451.333
ENSG00000167081	1314.923
ENSG00000183578	2259
ENSG00000146006	2411.75
ENSG00000164825	476
ENSG00000085831	1538.211
ENSG00000198818	1207.5
ENSG00000143401	1501.5
ENSG00000102898	1169.875
ENSG00000182993	1495
ENSG00000120658	1805.25
ENSG00000153531	1344.333
ENSG00000119673	1247
ENSG00000188343	1131.444
ENSG00000087077	1008
ENSG00000183571	1234
ENSG00000187730	1904
ENSG00000163026	2690
ENSG00000170929	1034
ENSG00000123584	1810
ENSG00000240344	747
ENSG00000083844	1208.333
ENSG00000108270	871.4444
ENSG00000125841	884.1111
ENSG00000135436	2296.667
ENSG00000172037	1136.526
ENSG00000232399	1591.5
ENSG00000092850	1325.667
ENSG00000136052	956.5
ENSG00000213927	659.5
ENSG00000139719	1480.222
ENSG00000173673	693
ENSG00000215305	1358.75
ENSG00000144583	4443
ENSG00000162542	1500.333
ENSG00000114805	5060
ENSG00000121318	1041
ENSG00000182217	1080.667
ENSG00000174628	1057.188
ENSG00000117500	3187.2
ENSG00000178691	2923.5
ENSG00000154065	1537.667
ENSG00000005194	1066.467
ENSG00000187082	314
ENSG00000204439	2474
ENSG00000154127	1551.375
ENSG00000155906	1203.5
ENSG00000185842	3242.947
ENSG00000095139	2807
ENSG00000145911	6075
ENSG00000075891	2181.2
ENSG00000177489	953
ENSG00000249115	2349.3
ENSG00000169710	2090.5
ENSG00000175262	2126.667
ENSG00000182405	2317
ENSG00000126542	1188.5
ENSG00000167964	1126.625
ENSG00000139626	1331.267
ENSG00000227392	1120
ENSG00000160218	2303
ENSG00000159593	842.3182
ENSG00000124215	1815.125
ENSG00000112304	3053.667
ENSG00000164761	1460.667
ENSG00000172179	1349
ENSG00000146122	2714.625
ENSG00000147119	2287
ENSG00000183682	1685
ENSG00000118729	1413.333
ENSG00000079482	2130.167
ENSG00000132823	1589
ENSG00000162975	2287
ENSG00000173482	2335.938
ENSG00000138175	3838
ENSG00000119917	2473.5
ENSG00000204019	546
ENSG00000213030	896.5
ENSG00000169045	1085.92
ENSG00000015568	2063.462
ENSG00000117682	985.68
ENSG00000132207	949
ENSG00000185254	1202
ENSG00000138193	6705.2
ENSG00000119950	1560.6
ENSG00000100994	1855
ENSG00000205710	2234.5
ENSG00000143633	1287.5
ENSG00000065882	1571.889
ENSG00000244486	2497
ENSG00000205221	2147.375
