gen	lnl	s0	s1	tau	alpha_r_library_1	alpha_r_library_2	alpha_r_library_3	alpha_r_library_4	spike_probability	inactive_mean	inactive_variance	active_mean_component1	active_mean_component2	active_variance_component1	active_variance_component2	weight_active	weight_within_active_component_1	weight_within_active_component_2
1450	-10619.7585	-2.0178	-0.3551	0.848	18.2456	12.5253	17.5581	12.294	0.0491	-1.3513	4.2229	2.8269	6.5169	1.391	1.391	0.6474	0.9804	0.0196
1500	-10648.3233	-1.9696	-0.3683	0.8142	17.2616	13.1352	16.9176	11.472	0.0439	-1.108	4.5329	2.8753	6.7716	1.2753	1.2753	0.6115	0.9822	0.0178
1550	-10388.7206	-2.0042	-0.3576	0.856	17.7171	13.1352	16.326	12.2588	0.0604	-1.0741	4.6486	2.8222	6.2315	1.3133	1.3133	0.6138	0.9769	0.0231
1600	-10589.2974	-2.057	-0.3611	0.8624	17.9298	13.0134	16.326	13.1554	0.0401	-0.9905	4.9136	2.8938	6.6024	1.2401	1.2401	0.5992	0.9869	0.0131
1650	-10435.7807	-2.0651	-0.3362	0.834	18.1442	12.2085	16.0063	12.7134	0.0415	-1.1844	4.4657	2.8565	7.0282	1.3761	1.3761	0.6239	0.9891	0.0109
1700	-10454.5471	-1.9685	-0.3541	0.7841	20.2313	14.1649	16.0063	13.4291	0.0729	-1.399	3.2905	2.7802	6.8993	1.5244	1.5244	0.6762	0.9931	0.0069
1750	-10405.2699	-2.0566	-0.3436	0.8692	20.3834	13.9262	15.7741	13.4817	0.092	-1.2336	3.5933	2.8985	6.9494	1.3621	1.3621	0.6435	0.9894	0.0106
1800	-10420.1813	-2.0021	-0.3604	0.8239	20.3834	12.514	16.1505	11.4804	0.0783	-1.1915	3.54	2.8664	7.1471	1.2992	1.2992	0.6343	0.9908	0.0092
1850	-10621.9854	-1.9874	-0.3663	0.835	18.1866	13.3743	16.1505	12.7089	0.0589	-1.3962	3.5274	2.8288	6.8143	1.3399	1.3399	0.6599	0.9871	0.0129
1900	-10501.0612	-2.0072	-0.3659	0.8553	18.8595	14.4511	17.2048	12.5555	0.0542	-1.4428	3.3688	2.7393	6.3603	1.3921	1.3921	0.6632	0.9802	0.0198
1950	-10514.7953	-1.995	-0.373	0.8363	20.3156	13.1051	17.2048	11.8013	0.0746	-1.3624	3.8351	2.7977	6.8109	1.4218	1.4218	0.6486	0.9875	0.0125
2000	-10538.9717	-2.0136	-0.3659	0.8588	19.6179	13.2664	17.2048	12.636	0.0878	-1.1513	3.1693	2.8508	6.7685	1.3402	1.3402	0.6385	0.9844	0.0156
2050	-10479.9131	-2.0058	-0.3682	0.866	19.141	12.4941	18.1374	12.2275	0.0698	-1.3299	3.7194	2.8426	6.5792	1.459	1.459	0.6487	0.9864	0.0136
2100	-10400.1901	-2.0768	-0.3597	0.8923	19.2753	13.1249	16.7644	12.9867	0.0681	-1.3488	3.5255	2.7789	6.7632	1.5293	1.5293	0.6665	0.9908	0.0092
2150	-10419.9142	-2.0343	-0.3724	0.8752	18.528	13.3167	15.6077	12.0022	0.0821	-1.5545	2.9214	2.7275	6.3237	1.4819	1.4819	0.6876	0.9817	0.0183
2200	-10261.8941	-2.0481	-0.3593	0.8506	19.4046	14.0859	15.9818	12.1996	0.0759	-1.4928	3.0311	2.8045	6.9201	1.4787	1.4787	0.6727	0.9885	0.0115
2250	-10304.549	-2.1552	-0.3427	0.9135	20.7224	13.7355	16.3611	12.3649	0.0588	-1.5148	3.4334	2.7877	6.73	1.4501	1.4501	0.6692	0.9864	0.0136
2300	-10377.85	-2.0941	-0.3459	0.8688	19.6735	12.9332	14.3991	12.3724	0.0584	-1.5338	3.341	2.721	6.725	1.4454	1.4454	0.6662	0.9841	0.0159
2350	-10593.9257	-2.0017	-0.3539	0.8146	18.9678	12.8441	14.9406	12.089	0.0833	-1.8021	2.7438	2.7237	7.1556	1.6608	1.6608	0.7045	0.9913	0.0087
2400	-10489.3483	-2.0305	-0.3451	0.8283	18.9678	13.6974	16.1226	11.8701	0.0828	-1.3754	3.1067	2.7787	5.9364	1.4749	1.4749	0.6719	0.9862	0.0138
2450	-10681.9677	-1.9867	-0.352	0.8153	18.8687	12.6919	16.4433	12.6398	0.0645	-1.8621	2.5477	2.6979	6.3842	1.5726	1.5726	0.7079	0.9874	0.0126
2500	-10540.4573	-1.9672	-0.3577	0.7971	18.3046	13.9459	15.4527	12.6398	0.0955	-1.5368	2.5031	2.7682	6.8683	1.466	1.466	0.6838	0.9895	0.0105
2550	-10497.687	-2.0619	-0.344	0.8758	18.3046	12.6734	16.7559	11.9506	0.0733	-1.3544	3.3079	2.8362	6.6508	1.3941	1.3941	0.6566	0.9884	0.0116
2600	-10435.9728	-2.0019	-0.353	0.8257	18.4043	12.567	16.4943	12.4854	0.0958	-1.4539	2.9467	2.7931	6.5392	1.5154	1.5154	0.6718	0.9836	0.0164
2650	-10390.2764	-2.0372	-0.3456	0.8505	18.4043	14.1769	17.3459	12.9874	0.0841	-1.5439	3.0168	2.7403	7.1395	1.5945	1.5945	0.6767	0.9901	0.0099
2700	-10414.9484	-2.029	-0.3404	0.8413	19.0307	12.6691	16.4209	12.9874	0.0833	-1.6408	3.0871	2.7635	6.8582	1.4601	1.4601	0.6908	0.9917	0.0083
2750	-10428.0107	-2.0887	-0.349	0.8824	17.8683	13.9383	17.4275	13.1678	0.082	-1.7225	2.7698	2.6974	7.0098	1.5796	1.5796	0.6938	0.9909	0.0091
2800	-10476.2104	-2.1063	-0.3521	0.8975	18.2445	15.1401	16.4221	12.7262	0.0819	-1.4818	2.7671	2.7811	6.6864	1.4817	1.4817	0.6678	0.9868	0.0132
2850	-10439.8707	-2.0333	-0.3449	0.8292	19.8463	13.1786	15.9895	11.8059	0.067	-1.484	3.0994	2.871	7.2403	1.3921	1.3921	0.6583	0.9913	0.0087
2900	-10597.1112	-2.0375	-0.3505	0.833	19.677	13.1786	15.1138	13.4986	0.0654	-1.6661	2.8371	2.7715	6.7974	1.5147	1.5147	0.6824	0.9911	0.0089
2950	-10359.9892	-1.9876	-0.3569	0.8197	21.2805	13.4256	16.8429	13.7664	0.0797	-1.7594	2.5227	2.7173	7.2567	1.525	1.525	0.6877	0.9946	0.0054
3000	-10543.5384	-2.022	-0.3446	0.8398	19.7353	13.6452	15.6828	12.2958	0.0822	-1.7723	2.5354	2.6905	6.5893	1.619	1.619	0.7042	0.9854	0.0146
3050	-10451.7036	-2.0719	-0.349	0.8868	17.0073	14.2144	16.5957	12.035	0.0789	-1.7805	2.5369	2.7571	8.3487	1.5926	1.5926	0.6997	0.9919	0.0081
3100	-10489.2334	-2.0436	-0.3568	0.8364	19.0026	13.5078	16.5029	12.6385	0.0689	-1.6249	2.8304	2.7305	6.7088	1.7036	1.7036	0.6951	0.9929	0.0071
3150	-10447.9633	-2.085	-0.3383	0.8693	18.8797	12.0221	15.7018	12.4415	0.0757	-1.7625	2.6395	2.6947	6.6511	1.5922	1.5922	0.7036	0.986	0.014
3200	-10413.743	-2.0413	-0.343	0.8341	19.6045	13.4127	15.0256	12.7087	0.1169	-1.6462	2.5416	2.6956	6.2813	1.491	1.491	0.7048	0.9845	0.0155
3250	-10227.4212	-2.0643	-0.3405	0.8531	18.0506	13.4348	15.9378	12.5045	0.0896	-1.7045	2.5541	2.7202	7.2637	1.6306	1.6306	0.702	0.9879	0.0121
3300	-10337.2104	-2.0297	-0.3593	0.844	20.3395	12.7344	16.2989	12.0273	0.096	-1.6971	2.2917	2.7032	7.8763	1.71	1.71	0.7118	0.9942	0.0058
3350	-10338.0041	-2.0806	-0.3433	0.853	19.0261	12.7344	16.1986	12.7073	0.1026	-1.5365	2.6119	2.7023	7.3415	1.6	1.6	0.6741	0.9933	0.0067
3400	-10297.8213	-2.1177	-0.3513	0.8662	19.0261	12.4905	16.1986	12.0685	0.0816	-1.5069	3.0767	2.8067	7.57	1.4466	1.4466	0.6791	0.9934	0.0066
3450	-10349.3999	-2.0376	-0.3596	0.8441	20.8556	13.1142	16.1986	12.1138	0.0824	-1.4566	2.8745	2.7908	6.6033	1.4387	1.4387	0.6768	0.9869	0.0131
3500	-10426.875	-2.0179	-0.3635	0.8495	18.7572	13.7472	17.3588	12.1138	0.085	-1.3419	3.6426	2.8417	6.731	1.4911	1.4911	0.6692	0.985	0.015
3550	-10562.3917	-1.9671	-0.3672	0.8051	17.9642	14.1726	14.9558	12.1138	0.0567	-1.6448	3.0787	2.7435	6.8607	1.5465	1.5465	0.6802	0.9869	0.0131
3600	-10396.6269	-2.0013	-0.348	0.8008	18.3022	14.041	15.2753	12.5888	0.0811	-1.559	3.1696	2.7163	7.0372	1.5602	1.5602	0.6767	0.9884	0.0116
3650	-10386.353	-1.9825	-0.3604	0.8115	19.3077	14.041	15.0848	12.7976	0.0616	-1.5359	3.1674	2.7757	7.0353	1.4688	1.4688	0.6746	0.9866	0.0134
3700	-10644.5609	-1.9449	-0.3594	0.8011	19.3077	11.7169	15.7798	11.1285	0.095	-1.4139	2.9957	2.7842	6.4198	1.4677	1.4677	0.6745	0.9852	0.0148
3750	-10529.8594	-2.0536	-0.3634	0.8831	17.044	12.1368	13.627	11.6854	0.0594	-1.3028	3.1231	2.8512	6.9008	1.3788	1.3788	0.6589	0.9861	0.0139
3800	-10526.4454	-2.0502	-0.3494	0.8436	17.044	12.7277	17.8369	10.834	0.0698	-1.5383	2.9814	2.7963	6.4049	1.502	1.502	0.6745	0.9902	0.0098
3850	-10344.4538	-2.1503	-0.3371	0.889	20.6227	13.4707	17.8369	12.2287	0.0758	-1.5819	3.0631	2.7724	7.0969	1.4848	1.4848	0.6947	0.9872	0.0128
3900	-10343.2562	-2.1129	-0.3594	0.9323	18.4605	13.3223	17.8369	12.2808	0.0865	-1.4025	3.5296	2.7859	6.0497	1.5989	1.5989	0.6736	0.9831	0.0169
3950	-10417.5094	-2.032	-0.3621	0.8682	19.3211	12.7218	16.4462	12.2808	0.089	-1.4943	3.4556	2.7752	6.6135	1.5535	1.5535	0.665	0.9893	0.0107
4000	-10443.7162	-2.0509	-0.369	0.9054	19.4279	12.8056	17.2106	11.8626	0.0763	-1.604	2.875	2.7503	6.1917	1.5123	1.5123	0.6894	0.9893	0.0107
4050	-10460.9336	-2.0029	-0.3691	0.8742	19.4279	12.8301	15.3166	12.8524	0.0697	-1.8292	2.4991	2.6944	6.4559	1.5872	1.5872	0.7104	0.9869	0.0131
4100	-10536.7914	-2.0343	-0.3594	0.8712	17.9824	12.2876	15.3166	12.8524	0.0749	-1.6314	3.4298	2.7762	6.9411	1.5101	1.5101	0.6829	0.9929	0.0071
4150	-10421.5585	-2.0504	-0.3532	0.8647	16.7718	12.4173	15.9044	12.7524	0.0659	-1.3683	3.0469	2.7845	6.6017	1.3938	1.3938	0.6741	0.9821	0.0179
4200	-10452.1425	-2.0176	-0.3467	0.8273	18.6805	13.6817	15.9044	12.7524	0.0837	-1.0477	3.5933	2.9082	6.8618	1.3633	1.3633	0.6409	0.9907	0.0093
4250	-10425.9245	-2.0742	-0.3442	0.8776	19.0768	13.7837	16.9346	14.8686	0.0738	-1.4238	3.254	2.8077	7.1235	1.4669	1.4669	0.6576	0.9911	0.0089
4300	-10389.3601	-2.0729	-0.3616	0.8795	18.7165	13.9721	15.0204	14.1907	0.0756	-1.7088	2.6545	2.7163	7.2982	1.6269	1.6269	0.6902	0.9925	0.0075
4350	-10472.1278	-2.0653	-0.3485	0.8585	19.3326	13.4431	16.8038	12.7638	0.0653	-1.6083	2.8797	2.7031	6.6742	1.5767	1.5767	0.6919	0.9879	0.0121
4400	-10377.1095	-2.0627	-0.3519	0.8743	18.7721	13.0276	16.8038	13.7126	0.0914	-1.68	2.6001	2.7744	7.0512	1.5289	1.5289	0.6924	0.9922	0.0078
4450	-10458.9706	-2.0855	-0.3545	0.9194	19.6184	13.7977	15.8543	13.6999	0.1095	-1.8316	2.3438	2.706	7.9496	1.7469	1.7469	0.7059	0.9952	0.0048
4500	-10327.2238	-2.0651	-0.3589	0.8656	20.715	13.7977	17.2756	12.5879	0.112	-1.5551	2.6997	2.7425	7.3003	1.6049	1.6049	0.6876	0.9917	0.0083
4550	-10402.2561	-2.0469	-0.3548	0.894	20.4546	13.2751	18.1859	13.2265	0.1021	-1.5573	2.9444	2.7353	7.1858	1.5677	1.5677	0.6769	0.9891	0.0109
4600	-10392.1361	-2.0517	-0.3687	0.8764	19.3674	12.7081	15.911	13.0778	0.1067	-1.541	2.8687	2.7349	7.3002	1.5402	1.5402	0.6902	0.9914	0.0086
4650	-10467.434	-2.0273	-0.3592	0.8711	16.6334	13.5318	17.52	13.0778	0.0894	-1.2907	3.2629	2.7717	7.7909	1.5065	1.5065	0.6437	0.9891	0.0109
4700	-10244.2234	-2.1016	-0.3572	0.9128	19.1126	14.8048	15.0854	14.2759	0.0775	-1.4487	3.5391	2.743	6.7423	1.471	1.471	0.6677	0.9899	0.0101
4750	-10391.4991	-2.1002	-0.3508	0.9057	18.5966	13.615	17.075	12.19	0.0655	-1.551	3.0596	2.759	7.2809	1.4724	1.4724	0.6672	0.9923	0.0077
4800	-10476.9806	-2.093	-0.349	0.9178	18.5966	12.7807	18.3531	11.7972	0.0754	-1.3239	3.3945	2.8179	7.0887	1.4596	1.4596	0.6548	0.9881	0.0119
4850	-10480.6224	-2.002	-0.3577	0.8449	17.7553	12.2839	14.2987	13.4282	0.0955	-1.4688	2.7952	2.7857	6.8982	1.4215	1.4215	0.6645	0.9916	0.0084
4900	-10456.6208	-2.0733	-0.3588	0.8671	18.074	12.417	14.9088	12.682	0.0917	-1.4169	3.0535	2.7401	6.3169	1.4043	1.4043	0.6648	0.9774	0.0226
4950	-10355.5566	-2.0995	-0.3534	0.8909	17.8393	12.7436	16.4439	12.957	0.0664	-1.4019	3.1684	2.8091	6.3399	1.462	1.462	0.6655	0.9853	0.0147
5000	-10558.8257	-2.0662	-0.3565	0.8859	18.3864	12.5861	16.6322	12.5332	0.0795	-1.2632	3.5733	2.819	6.5768	1.4061	1.4061	0.6642	0.9844	0.0156
5050	-10561.3073	-2.0817	-0.3477	0.9081	16.9922	12.1168	15.8288	11.6999	0.0422	-1.2528	4.1522	2.7958	7.1008	1.4457	1.4457	0.6519	0.9911	0.0089
5100	-10515.3669	-2.0268	-0.3692	0.873	18.3371	13.3477	16.3708	11.5854	0.0514	-1.4168	3.892	2.8394	7.1982	1.4767	1.4767	0.6481	0.9875	0.0125
5150	-10507.8683	-2.0022	-0.3648	0.8545	17.503	13.9266	15.1748	11.6506	0.0502	-1.3242	3.8838	2.8249	7.1673	1.3859	1.3859	0.6515	0.9878	0.0122
5200	-10554.0362	-2.0708	-0.3546	0.888	16.1327	13.7986	14.5689	11.913	0.047	-1.4515	3.6786	2.8532	6.6142	1.4067	1.4067	0.6474	0.9902	0.0098
5250	-10519.4468	-1.9694	-0.3652	0.8147	16.7456	12.0591	17.3296	12.0293	0.086	-1.313	3.238	2.8338	7.2603	1.4283	1.4283	0.659	0.9919	0.0081
5300	-10345.6956	-2.0349	-0.3627	0.8503	18.8464	13.4017	16.5569	11.9174	0.0965	-1.3589	3.0103	2.7751	6.8961	1.52	1.52	0.6675	0.9893	0.0107
5350	-10557.1872	-1.9806	-0.3612	0.8234	18.8464	13.4017	15.2122	12.63	0.062	-1.2602	3.5836	2.7979	7.1556	1.4208	1.4208	0.6498	0.9868	0.0132
5400	-10391.0297	-1.9925	-0.3884	0.8604	20.8715	14.4756	17.8777	13.5287	0.0899	-1.3614	3.3393	2.7802	6.6163	1.4806	1.4806	0.6669	0.9888	0.0112
5450	-10503.7558	-1.9758	-0.3737	0.8622	19.929	14.3465	17.3775	13.0042	0.0577	-1.5608	3.1768	2.786	7.1353	1.4083	1.4083	0.6615	0.9945	0.0055
5500	-10501.6841	-2.0027	-0.3821	0.8632	19.1266	12.1891	14.8605	12.1951	0.085	-1.564	3.1113	2.7443	6.5923	1.5467	1.5467	0.6843	0.9888	0.0112
5550	-10743.1152	-1.9666	-0.3693	0.825	17.6886	12.1891	14.6494	11.6168	0.0776	-1.6629	2.6011	2.7973	6.9409	1.4478	1.4478	0.6934	0.9867	0.0133
5600	-10453.187	-1.9853	-0.3695	0.8526	18.3756	12.1891	15.672	12.0099	0.0888	-1.5253	3.0476	2.7668	7.4403	1.541	1.541	0.6832	0.9875	0.0125
5650	-10535.5258	-1.9944	-0.3727	0.8275	18.6677	12.4542	17.0369	11.9145	0.0809	-1.535	3.1958	2.7974	6.9784	1.5295	1.5295	0.6659	0.9911	0.0089
5700	-10511.5105	-2.0007	-0.373	0.8282	18.2455	12.8712	14.5543	11.9145	0.0726	-1.3379	3.6539	2.7963	6.9408	1.4017	1.4017	0.644	0.9863	0.0137
5750	-10517.1714	-1.9736	-0.3681	0.8336	18.2679	13.5883	15.3018	11.9145	0.0798	-1.495	3.1495	2.837	7.9501	1.5205	1.5205	0.6761	0.9938	0.0062
5800	-10626.4803	-1.9601	-0.3617	0.836	18.1121	12.7679	15.6234	12.6189	0.0874	-1.4377	2.9349	2.8271	6.4025	1.405	1.405	0.6736	0.9825	0.0175
5850	-10463.7673	-2.0383	-0.3756	0.9097	18.0983	14.5135	15.2031	13.1767	0.0769	-1.5778	3.0614	2.7992	7.7898	1.499	1.499	0.675	0.992	0.008
5900	-10575.4739	-2.0502	-0.3639	0.8864	18.0983	14.3055	15.6028	13.4168	0.068	-1.3304	3.3191	2.8301	6.9154	1.4291	1.4291	0.6545	0.9894	0.0106
5950	-10474.3242	-1.9942	-0.3677	0.8714	20.0789	12.9846	15.5089	11.4884	0.0936	-1.4694	2.7777	2.7713	7.1611	1.5346	1.5346	0.6713	0.9918	0.0082
6000	-10486.2563	-1.9991	-0.3766	0.8609	19.5692	14.302	16.9093	13.5173	0.0543	-1.7055	2.9726	2.751	6.8578	1.5097	1.5097	0.6768	0.9921	0.0079
6050	-10482.8206	-2.0337	-0.3621	0.8963	19.7794	13.6713	15.5183	13.7944	0.0849	-1.5172	3.3644	2.7594	7.1375	1.5	1.5	0.6786	0.989	0.011
6100	-10467.0031	-2.0184	-0.3523	0.867	20.1924	13.9502	18.4246	13.0691	0.0773	-1.4243	3.2489	2.7662	6.7552	1.4666	1.4666	0.6667	0.991	0.009
6150	-10407.1608	-2.0691	-0.3643	0.8695	18.878	13.3544	17.6666	12.7812	0.077	-1.2708	3.2536	2.8404	6.4318	1.3667	1.3667	0.6535	0.9882	0.0118
6200	-10441.9391	-2.0597	-0.3549	0.8688	21.4334	13.5697	16.2198	13.5585	0.081	-1.2517	3.7091	2.8384	6.2021	1.3596	1.3596	0.6339	0.984	0.016
6250	-10533.0138	-1.9915	-0.3592	0.8272	17.974	13.4537	16.5502	12.9919	0.0891	-1.461	3.1619	2.8209	6.7554	1.4759	1.4759	0.6649	0.9924	0.0076
6300	-10255.7805	-2.0534	-0.3579	0.8584	19.2524	14.0298	15.1568	12.8499	0.077	-1.5751	3.1308	2.7726	6.7437	1.5317	1.5317	0.6878	0.9923	0.0077
6350	-10421.0045	-2.0299	-0.3468	0.8269	19.1272	12.2783	16.2679	12.6826	0.0604	-1.5412	2.8343	2.7754	6.7524	1.4812	1.4812	0.6801	0.9879	0.0121
6400	-10461.3963	-2.0007	-0.3541	0.7978	18.5049	13.1213	15.7731	12.3977	0.0495	-1.5267	3.6586	2.8047	6.8602	1.5535	1.5535	0.6665	0.9896	0.0104
6450	-10462.7361	-2.0101	-0.359	0.842	17.1852	12.713	14.4491	12.8571	0.0396	-1.1536	4.64	2.876	6.7498	1.4228	1.4228	0.6237	0.987	0.013
6500	-10571.9545	-1.9944	-0.3468	0.8264	17.1852	12.2999	16.0684	11.2525	0.0513	-1.2133	4.1989	2.8236	6.4875	1.4627	1.4627	0.6467	0.9858	0.0142
6550	-10548.0356	-2.0547	-0.3401	0.8449	17.5809	13.0722	16.1989	11.6012	0.0563	-1.3896	3.3959	2.805	6.2293	1.3893	1.3893	0.6676	0.9829	0.0171
6600	-10488.8103	-2.073	-0.3585	0.8957	17.5809	13.5133	14.9237	12.1875	0.0622	-1.5656	3.281	2.7988	7.0453	1.4523	1.4523	0.666	0.9895	0.0105
6650	-10485.1824	-2.0747	-0.3501	0.8896	19.1512	12.5433	16.7505	13.5719	0.0887	-1.4917	3.0995	2.7823	6.1088	1.4849	1.4849	0.6745	0.9858	0.0142
6700	-10421.8113	-2.1222	-0.3446	0.9047	19.0816	13.4448	15.9867	12.5585	0.063	-1.6277	2.8367	2.7829	5.8978	1.4088	1.4088	0.6766	0.985	0.015
6750	-10446.2124	-2.0867	-0.3435	0.8808	20.1274	13.4917	16.8503	13.4252	0.0846	-1.6575	2.8185	2.7409	7.029	1.49	1.49	0.6952	0.9898	0.0102
6800	-10438.9915	-2.0723	-0.3372	0.8601	21.1204	12.9466	15.4674	12.2703	0.073	-1.8656	2.7327	2.7185	6.4192	1.5768	1.5768	0.6991	0.9907	0.0093
6850	-10429.834	-2.0991	-0.3261	0.8565	21.1204	12.4104	15.466	13.7127	0.1121	-1.8343	2.0738	2.6616	6.7562	1.7498	1.7498	0.7296	0.9879	0.0121
6900	-10491.4723	-2.0029	-0.3505	0.8016	19.7416	12.9022	15.6193	13.2558	0.1192	-1.8036	2.1674	2.6916	7.4555	1.7073	1.7073	0.7187	0.9931	0.0069
6950	-10512.6792	-2.0232	-0.3463	0.8422	18.0176	13.2022	15.8767	13.9272	0.1014	-1.856	2.2352	2.6907	6.1494	1.6305	1.6305	0.7099	0.9878	0.0122
7000	-10576.5778	-2.0488	-0.3502	0.8668	17.4906	13.3437	15.2119	13.3626	0.0957	-1.4359	2.9818	2.7887	7.3106	1.5272	1.5272	0.6658	0.9938	0.0062
7050	-10665.3658	-2.0325	-0.3533	0.8796	18.6218	13.8344	16.1651	13.3626	0.1227	-1.8444	2.0246	2.6688	6.994	1.6634	1.6634	0.7143	0.9939	0.0061
7100	-10592.6919	-1.9923	-0.3512	0.8439	17.8723	13.8344	15.731	12.3775	0.1056	-1.6948	2.2319	2.7046	6.6114	1.6277	1.6277	0.7063	0.991	0.009
7150	-10637.0692	-2.0987	-0.3425	0.8926	18.6796	13.9677	14.9479	11.7574	0.0772	-1.6148	2.8142	2.7572	6.7189	1.6065	1.6065	0.6922	0.9911	0.0089
7200	-10506.0095	-2.0483	-0.3501	0.8297	18.9423	14.0534	15.4429	13.0228	0.0788	-1.4817	3.0396	2.7681	6.6281	1.479	1.479	0.6576	0.9916	0.0084
